ITEM_NAME, FACT, ID_CUST
''CEREZA 10OZ'',''106-20191213-15-242'',''1502878''
''PRINGLES SC O 40GR'',''108-20200131-4-328'',''985035''
''CHOCOL TWIX CARAM'',''108-20200206-12-79'',''985035''
''MM CHOCOL PEANUT'',''78-20200112-11-63'',''702764''
''CHEESE PUFFS 10/2'',''123-20200216-10-151'',''1226904''
''MARUCHAN INSTANT L'',''78-20200217-9-108'',''702764''
''MARUCHAN CUPPOL64G'',''78-20200324-7-3'',''702764''
''MARUCHAN CUPPOL64G'',''78-20200321-7-13'',''702764''
''MARUCHAN CUPPOL64G'',''78-20191117-16-61'',''702764''
''MARUCHAN CUPPOL64G'',''78-20191105-9-24'',''702764''
''MARUCH CARNE 64GR'',''123-20200326-10-163'',''528218''
''MARUCH CAMARON64GR'',''78-20200321-7-13'',''702764''
''SOPA MARUCH. RAMEN'',''123-20200305-8-72'',''528218''
''SOPA MARUCH. RAMEN'',''123-20191124-10-333'',''528218''
''SOPA MARUCH. RAMEN'',''123-20200112-7-328'',''528218''
''SOPA MARUCH. RAMEN'',''123-20191202-10-303'',''528218''
''SOPA MARUCH. RAMEN'',''123-20191120-10-159'',''528218''
''SOPA MARUCH. RAMEN'',''123-20191109-14-84'',''528218''
''MARUCHAN RAME RES'',''123-20191017-10-129'',''528218''
''MARUCHAN RAME RES'',''123-20191101-5-146'',''528218''
''MARUCHAN RAME RES'',''123-20191118-8-385'',''528218''
''MARUCHAN RAME RES'',''123-20191004-10-213'',''528218''
''Frijoles Puerco'',''106-20200320-5-149'',''1502878''
''SUPR SPAG F 454G'',''169-20200305-5-242'',''519849''
''SUPR SPAG F 454G'',''104-20191214-12-254'',''519849''
''SUPR SPAG F 454G'',''104-20200116-15-84'',''519849''
''SORB/VAINI/8 PAC'',''108-20191125-18-438'',''985035''
''COC VEG TOM ALM'',''44-20191014-5-87'',''414949''
''Galleta POZUELO'',''123-20200112-7-328'',''528218''
''Galleta POZUELO'',''123-20191109-14-84'',''528218''
''Galleta POZUELO'',''123-20191101-5-146'',''528218''
''Gallet POZUEL Ch'',''123-20191122-8-192'',''528218''
''CLOROX LAVA/32OZ'',''123-20191125-10-272'',''528218''
''MAGGI PASTA 113GR'',''50-20200110-2-111'',''425047''
''MAGGI PASTA 113GR'',''50-20191108-2-198'',''425047''
''CONSOME CAMAR 10GR'',''78-20191215-11-99'',''702764''
''CONSOME CAMAR 10GR'',''20-20191206-2-76'',''740827''
